experiment,fold,rmse,mae,r2
image,0,15.509877781472644,11.512782001039058,-0.0398267229242845
image,1,14.250496254225736,10.976660128415489,-0.0013695262044153
image,2,14.67090782373267,11.334738133626692,-0.0014644456472863
image,3,14.727685811739615,11.513100042520064,-0.0153086133992406
image,4,14.038567051216814,10.81699857135364,-0.0006414844387145
image_tabular,0,11.310713990596152,8.176831500952323,0.4470011035856804
image_tabular,1,10.96595651222284,8.193828174372038,0.4070372215159598
image_tabular,2,10.583824580840822,7.799864860242634,0.4787970984777091
image_tabular,3,10.794235283780882,8.402752538985796,0.4546029185934424
image_tabular,4,10.323882827726464,7.831232204471499,0.4588482387845033
image_tabularONLY_no_qrisk,0,11.209999461227092,8.168225388777884,0.4568054465677902
image_tabularONLY_no_qrisk,1,10.958655083292916,8.1699682787845,0.4078265797884812
image_tabularONLY_no_qrisk,2,10.485200127549708,7.730738968370064,0.4884654092071609
image_tabularONLY_no_qrisk,3,10.571598704367792,8.092249381192639,0.4768690834189826
image_tabularONLY_no_qrisk,4,10.280528607171734,7.828483362386214,0.463383732177806
image_tabular_no_qrisk,0,11.271359148931314,8.180696551309248,0.4508426510398341
image_tabular_no_qrisk,1,11.00469412710997,8.195924085863469,0.4028404996304883
image_tabular_no_qrisk,2,10.68909680908543,7.777920764028741,0.4683772234727533
image_tabular_no_qrisk,3,10.67330855968562,8.237549131748422,0.466754525041138
image_tabular_no_qrisk,4,10.474274636441653,8.122080553512527,0.4429670873479636
mask,0,15.967128419067132,11.832217859879636,-0.1020412726880719
mask,1,14.121581772322738,10.810565713490025,0.0166659347755917
mask,2,14.512685674064352,10.970200785039143,0.0200201708832897
mask,3,14.784917685214673,11.712741098455297,-0.0232149360742739
mask,4,13.934878528185822,10.758636689200364,0.0140853564283499
tabular,0,13.18273171102244,9.57437141546222,0.2488009147281626
tabular,1,12.41697056586519,9.48382646159122,0.2397337748197248
tabular,2,13.39827358566146,10.264277366930218,0.1647446968371688
tabular,3,13.52376314701217,10.535243321435312,0.1439006622150115
tabular,4,11.750197192686016,9.057795106258885,0.2989915505755672
tabular_no_retinal,0,14.001906648437028,10.403213537480845,0.1525412289318264
tabular_no_retinal,1,12.488941688144012,9.547015689776844,0.2308949378663469
tabular_no_retinal,2,14.170111638228358,10.821361979799407,0.0657392534112979
tabular_no_retinal,3,13.9786688004983,10.900308411539422,0.0853379095400912
tabular_no_retinal,4,12.45215303719967,9.63602252551569,0.2127333730217978
